author,content
"
猪头小小败
","让你们看看汪峰为啥一直不能大火。早上双宋爆出离婚，两方陷入撕逼僵局；中午，昊然弟弟被爆留级，无法顺利毕业；下午唐艺昕张若昀大婚，王宝强妈妈去世，今晚，范冰冰官宣分手，李晨立刻回应证实，今天到底是什么日子啊！！！！！结果，网上爆出一张汪峰老师的微博图，他说：“27号，北京演唱会，@稀土部队，我们一起守护我们的音乐，谁都不要抢我的热搜，谢谢！”第1次是汪峰离婚撞上王菲离婚，王菲妥妥上了头条；第2次是汪峰演唱会向二宫告白，遇上恒大夺冠；第3次是发布新专辑去遇刘诗诗公布与吴奇隆恋情；
…


查看全文"
"
挖鼻孔的老虎
",公司抽奖，我和一女同事抽到连着的电影票。她小我十岁，我觉得有代沟，于是回家把票给了小我八岁的表弟，还让他看她照片。表弟很喜欢，送我一条烟还请我吃饭，吃完饭他去理了个发，然后买了一大堆零食到电影院。天地良心，我真的不知道女同事会把票送给清洁阿姨。
匿名用户,真事。我小舅妈的大哥丧偶。我大舅妈与大舅离婚嫁给了我小舅妈的大哥，小舅妈大哥赔了八万块给我大舅。然后我小舅妈跟我小舅吵起来了，各自为自己的哥哥鸣不平。[哀怨][哀怨]
"
蒙面超人付小旭
",晚上，背有点痒，就对老婆说：“帮我抓抓背！”老婆把手往我背上一放，就不动了，我说：“你咋不抓呢！？”随后，听见：“你自己动！”这像话吗 像话吗 像话吗……！！
匿名用户,今天考科目二，在倒库上挂了，都不敢和别人说，怕别人笑话，只能在这里说说，好想哭[委屈]
"
A糖老虎
","""上午在公交车上，一哥们看到一个穿短裙的美女，于是就多看了一眼。美女毫不留情给了那哥们一个耳光，只看到那哥们脱下裤子，给了美女两个耳光：“穿的少就可以打人吗？”然后提上裤子下车了。"""
匿名用户,平时负责后勤工作。今天检查员工宿舍卫生情况，发现厨师空调没关，就顺手关了，然后去和厨师说了下，下次离开宿舍前空调要关了。结果中午吃排骨，厨师给我打一碗大骨头（基本没肉），我看其他同事全是肉…
"
GUO猛
",和老婆冷战，一个礼拜没说话了！昨天晚上觉得回家没意思跑去和朋友打麻将！玩到11点多回家！输了1700。回家后老婆主动和我说话了，两人好好的谈了下和好了!然后我才知道特么的她也去打麻将了！输2000！
"
凉、茶？
",一直都想买一套属于自己的房子，这样吧，从今天起，我一天存一块，一个月下来就是3万块，一年下来就有300万，也不用首付了，直接全款买，真优秀[奸笑][奸笑][奸笑]
"
伊人楚楚诺千金
","当你在工作中不如意的时候，看完或许会有触动，第一次发，有点长不知怎么割啊，06年大学毕业进了现在的公司(能源技术方面)，月薪4500，老大姓王，和他几个同学合开的公司，07年公司亏损快100万，08年底公司亏损了快300万，当时好多人都辞职进了竞争对手单位，包括他的同学，只剩下5个人了，我干了技术指导、财务跑单、后勤保障，人力资源，09年初有单位开出24万年薪挖我，当09年第一单生意成交后，王总请大家吃饭喝多了，席间对我说：杜啊，委屈你了。我记得很清楚自己说的话：王总，有困难我给您顶上。10年公
…


查看全文"
"
说攻
",我一同事今天结婚，没想到新娘居然让狗陪嫁，一只巨大的藏獒，趴在新娘的床下，在新娘的脚边边上紧紧的护着，闹洞房的愣是一动不动的干瞪眼，根本不敢靠近...
"
潘驴。邓闲
",朋友找我借车用，今天还我车钥匙的时候说：“你怎么买这种车啊，很漂亮，可惜跑不快。横竖都跑不上40去。我心里一惊，忙问她怎么开的。她说还能怎么开，加油门就是走不快。我说：“你该不是当成自动档的来开吧？我那车是手动档的。”然后她问：“什么是手动档.......
"
欲前带枪侍卫
",小姨在鬼屋上班，不到三天就被老板开除，理由是……她竟然扮鬼吓自己的员工，终于有一天，老板忍不了了，说中午来办公室一趟，谁知道，小姨，竟然把灯关了，然后躲在门后……
"
又一盏素酒
",闺蜜打扮比较中性，大姨妈一直不准，几个月没来大姨妈，找老中医看看！老中医一脸慈祥的问：怎么了？闺蜜说：两个月没来大姨妈了！老中医淡淡的说：小伙子你是拿我来寻开心的吧！
"
巾帼英雄小木兰
",以前一个人去外地上学，临走时我爸神神秘秘把我拉到一边塞给我一个双截棍，说:本想买把小.刀给你防身的，又担心你会伤到自己，如果遇到坏人你就拿出双截棍学着李.小.龙的样子，说不定能吓跑坏人！
"
leo咫尺天涯
",楼主洒水车司机，今天正工作呢，看见一男子骑着电驴子载个女的，不走侧道走主道，恰恰公路两边是很长的那种花坛，男的停下电车，一人翻花坛跑了，女的双手抱头等着被淋，我只能把水停了，顺便告诉她：妹啊，找个像我这样的好人再嫁一次吧！看着妹子那感激的眼神，第一次这么痛恨自己为嘛是女人……
"
胖香
",今天生日，闺蜜发消息给我，说定了个蛋糕给我，让我自己去拿。屁颠屁颠跑去蛋糕店，报上名字以后，老板拎出来一个巴掌大的小蛋糕，然后拿着数字18给我说：“你朋友说了，根据你自报的年龄定了个小小的蛋糕……”麻蛋！早知道实话实话还能吃个桌面大的蛋糕！
"
前世欠你今生还你
",上厕所习惯了马桶，每次完事儿都随手往身后按一下冲水， 今天回到老家蹲坑，完事儿随手往后一按，失去重心，掉坑里了…
"
老巫婆～～
",老王回了乡下老家，这不想帮年迈的奶奶做点事。想劈柴，结果斧子头飞了，把奶奶家的鸡给砸死了。看着水管陈旧了，想帮奶奶换个水管，结果水管爆了，奶奶的旧屋子从里到外遭了水灾。想去树上帮奶奶摘个果子，结果从树上掉下来，摔到大黄狗身上，被大黄狗嗷嗷的追了一路……
"
很热
",卫生间里刚要出去，听得门口保洁大姐喊 男卫生间有人吗？我大声回复 有。话音刚落 听见里面蹲坑小格子里一声 kimi 。我洗完手 走出来 对保洁大姐说 好了 里面没了。大姐提着桶和墩布就进去了。
"
傻人有傻福福福福
",老公割包皮我陪着去的，结果遇到我男同学，我笑他当初送封情书都手抖，现在竟然可以拿手术刀了！他也打趣，怕什么，割坏了赔你一个就是了！老公脸都绿了
"
leo咫尺天涯
",节后特忙，今正上着班，十岁的小侄子给我打来电话：姑姑，去年的今天你送了我平衡车，你现在有空吗？我们来祝平衡车一岁生日快乐吧！！哈哈，瞧我这记性，都忘了今天是小家伙生日了。。。。。。
"
男渣医生医渣男
",今天一大早，两个孩子都被我妈接走了，估计得在老家住十几天。在送走老妈回来关上门的那一刻，媳妇仰天大笑：“哈哈哈哈！这几天在家可以不穿衣服啦!……”
"
哈和嗨
",一好哥们在四川开间黑网咖，就10多台电脑，差不多要倒闭了，有天来了个业务员，说一个月给他2000，要把一台老虎机放在他门口，哥们正为房租发愁，想着就答应了，可是没过一个星期，哥们就自己玩老虎机输了20000，没钱交房租，把网吧抵押给了老虎机的业务员了
